Date,Volume,N-Volume,Z-Volume,Change,N-Change,Z-Change,Target,Z_Change_roll,Z_Volume_roll
2015-11-17,10743500,0.0333803023003832,-0.7349677411066773,-0.0014465260603798,0.4601660705325797,-0.1092966413741669,1,-0.05108733289398362,-1.0204218089822004
2015-11-18,14059500,0.0442845563076801,-0.6163705019198599,0.0330374306784446,0.5360252118856733,0.859520399809373,1,1.1171241400445706,-0.7040175266877307
2015-11-19,12522000,0.0392286785826442,-0.6713594208733374,0.0033021214252921,0.470612328877581,0.0241152707662052,0,0.10767024820540314,-0.820538793431051
2015-11-20,22003500,0.0704074133143046,-0.3322521460392574,-0.0080703785376379,0.4455946637424584,-0.2953919090041818,0,-0.25052757811602044,0.0601428119254911
2015-11-23,12631000,0.0395871115400614,-0.6674610194646031,-0.0102722605852519,0.4407508784785494,-0.3572531642702539,1,-0.31359746279873146,-0.7772033619846254
2015-11-24,12401500,0.0388324293040317,-0.6756691215132685,0.0022962801905002,0.4683996404385264,-0.004143555109609,1,0.1543188020553169,-0.7775314134673053
2015-11-25,19954000,0.0636678872021348,-0.4055528220686248,0.0521878326603513,0.5781530066140093,1.3975455436785975,1,1.9269822443419464,-0.07690340920575674
2015-11-27,9747000,0.0301034358594087,-0.7706077136186386,0.0085786011021902,0.4822197328854244,0.1723564794869562,0,0.34900190414347115,-0.9833420178243852
2015-11-30,13299000,0.0417837465451502,-0.6435698989046532,-0.0058287855841454,0.4505258065925372,-0.2324149870346853,1,-0.1905708257146692,-0.6466732707366524
2015-12-01,18670000,0.0594456127312755,-0.4514752753605047,0.0300964574870346,0.5295555453467504,0.776894587258863,0,1.1136321994075338,-0.16080323256070736
2015-12-02,14907500,0.0470730989488706,-0.5860416542629174,-0.0219233736666808,0.4151203094328025,-0.6845879010447065,1,-0.7852529247413667,-0.49996706827458026
2015-12-03,14698000,0.0463841842279633,-0.5935344533008059,0.0031036036704945,0.4701756218449063,0.0185379704209436,0,0.14381426407566916,-0.514781899211476
2015-12-04,12868000,0.0403664565942621,-0.6589846787868964,-0.0100124618624038,0.4413223937541644,-0.3499541924069245,1,-0.33766864385590123,-0.6786490899760113
2015-12-07,15721000,0.049748192626475,-0.5569467042995652,0.0032555343345777,0.4705098447941416,0.0228064195886797,0,0.15688233074183858,-0.42859158212743276
2015-12-08,13438000,0.042240830775251,-0.6385985429797534,-0.0190801705066339,0.4213748976764634,-0.6047089099572626,0,-0.6517573114843046,-0.6333670577642796
2015-12-09,15289000,0.0483276142998308,-0.5723972493323471,-0.0097036648860416,0.4420016972823728,-0.3412786284270858,1,-0.29729150895121886,-0.466935639243272
2015-12-10,10358500,0.0321142776342767,-0.7487373240641334,0.0113576075930341,0.4883330988140143,0.2504318832545885,0,0.5031604365062357,-0.8898838989578213
2015-12-11,16343500,0.0517952065346603,-0.5346828980891327,-0.0442595225203786,0.3659843855592893,-1.3121157049962515,1,-1.5246397603772692,-0.3487437436556697
2015-12-14,14135500,0.0445344728651453,-0.6136523504789074,0.0071883007830684,0.4791612964875859,0.1332963840422935,1,0.35827230190240794,-0.538990947468593
