Date,Open,High,Low,Close,Volume,Open_minmax,High_minmax,Low_minmax,Close_minmax,Volume_minmax,Open_std,High_std,Low_std,Close_std,Volume_std
2010-06-29,3.8,5.0,3.508,4.778,93831500,0.000464594173894516,0.0013498214861084618,0.0004217449036411744,0.0013189321012075064,0.30660486712495666,-0.5395597016757933,-0.5346400825827706,-0.5412397847396506,-0.5357635664472917,2.2344187458922047
2010-06-30,5.158,6.084,4.66,4.766,85935500,0.0015675992231056228,0.0022238994376864623,0.0013706709368338163,0.0013091501573172164,0.280639852154626,-0.5341277568862834,-0.530402727471926,-0.53651329968528,-0.5358115509380637,1.9522080449834736
2010-07-01,5.0,5.184,4.054,4.392,41094000,0.0014392672659809137,0.0014981889612840638,0.0008714963047897705,0.0010042795727364948,0.13318415068653064,-0.534759750462677,-0.5339208267336973,-0.5389996277607563,-0.5373070675671204,0.34952932857024427
2010-07-02,4.6,4.62,3.742,3.84,25699000,0.0011143762352854476,0.0010434103960718939,0.0006144955041334295,0.00055431015378313,0.08255960592104938,-0.5363597342003824,-0.5361255022710741,-0.5402797174629816,-0.5395143541426268,-0.2007029080672827
2010-07-06,4.0,4.0,3.166,3.222,34334500,0.000627039689242249,0.0005434765123280188,0.00014003248753710878,5.054004343316761e-05,0.11095637476303143,-0.5387597098069405,-0.5385490817625167,-0.5426429599901669,-0.5419855554173786,0.10793824032397185
2010-07-07,3.28,3.326,2.996,3.16,34608500,4.223583399041043e-05,0.0,0.0,0.0,0.11185738972020855,-0.5416396805348104,-0.5411837472096654,-0.5433404447638153,-0.5422334752863667,0.11773126616604282
2010-07-08,3.228,3.504,3.114,3.492,38557000,0.0,0.00014352940533291902,9.71990207610518e-05,0.00027063378096470496,0.12484154139325193,-0.541847678420712,-0.5404879453556707,-0.5428563082738711,-0.5409059043750114,0.25885448710552156
2010-07-09,3.516,3.58,3.31,3.48,20253000,0.0002339215421007356,0.00020481162334023278,0.00025864824168618907,0.00026085183707441444,0.06465111155321496,-0.5406956901295642,-0.54019086141801,-0.5420521493583705,-0.5409538888657832,-0.3953482319209996
2010-07-12,3.59,3.614,3.4,3.41,11012500,0.00029402638277939647,0.00023222735244876743,0.00033278308802936387,0.00020379049771438633,0.034264875378779786,-0.5403996931380887,-0.5400579554458986,-0.5416828927134979,-0.5412337983952858,-0.7256126672993086
2010-07-13,3.478,3.728,3.38,3.628,13400500,0.00020305689418466649,0.0003241506794597385,0.0003163086777308805,0.0003814958117213307,0.04211751668439649,-0.5408476885846462,-0.5396123295394075,-0.5417649497456918,-0.5403620801462634,-0.6402632303983399
