Date,Volume,N-Volume,Z-Volume,Change,N-Change,Z-Change
2010-06-30,85935500,0.280639852154626,1.9542854582103237,-0.002511511092507246,0.45782327528135724,-0.1392170955594244
2010-07-01,41094000,0.13318415068653064,0.35052246032260564,-0.07847251363827101,0.2907213248559834,-2.273320043463504
2010-07-02,25699000,0.08255960592104938,-0.2000820322229475,-0.12568306010928976,0.18686573933758321,-3.59968703467408
2010-07-06,34334500,0.11095637476303143,0.10876792525526777,-0.16093749999999996,0.1093116593563111,-4.590150582757776
2010-07-07,34608500,0.11185738972020855,0.11856757650291191,-0.019242706393544307,0.42101734494800275,-0.6092753098699903
2010-07-08,38557000,0.12484154139325193,0.2597862734055502,0.1050632911392404,0.6944704846006263,2.883066640422863
2010-07-09,20253000,0.06465111155321496,-0.39485904205750955,-0.0034364261168384758,0.45578861144907873,-0.16520232237099616
2010-07-12,11012500,0.034264875378779786,-0.7253469156117274,-0.02011494252873558,0.4190985661728788,-0.6337805381449687
2010-07-13,13400500,0.04211751668439649,-0.6399397361249601,0.06392961876832848,0.6039830416894214,1.7274277135669767
2010-07-14,20976000,0.06702860722489037,-0.36900083821792296,0.093715545755237,0.6695072755453602,2.5642549335674074
2010-07-15,18699000,0.05954097562820308,-0.4504380859948781,0.002520161290322731,0.46889214273825824,0.0021463212624596374
2010-07-16,13106500,0.04115073421209695,-0.6504546903833812,0.037707390648566985,0.5462983703915226,0.9907216083877856
2010-07-19,12432500,0.03893436895247146,-0.6745604018465643,0.06153100775193798,0.5987064844334904,1.6600394133945269
2010-07-20,9126500,0.028062998702735764,-0.7927999895279932,-0.07348242811501604,0.30169870793123915,-2.13312499773519
2010-07-21,6262500,0.018645090537205505,-0.8952313806712517,-0.003940886699507429,0.45467887955440134,-0.17937500019902544
2010-07-22,4789000,0.01379966886056136,-0.9479313299902431,0.03857566765578646,0.548208439723855,1.015115606078746
2010-07-23,3268000,0.008798049335501469,-1.0023301239598297,0.013809523809523716,0.49372691891016385,0.31931777799342737
2010-07-26,4611000,0.013214337975971838,-0.9542975267861579,-0.015969938938468653,0.4282169053369319,-0.5173278310373667
2010-07-27,3098500,0.008240669644838976,-1.0083923169761644,-0.019093078758949944,0.42134650160392223,-0.6050715636663595
2010-07-28,2336000,0.00573328313079679,-1.0356632442620353,0.008272506082725117,0.48154637322646926,0.16375682622427482
2010-07-29,3080000,0.008179834693350738,-1.009053972261133,-0.017857142857142794,0.424065361188066,-0.5703482930002297
2010-07-30,2134500,0.005070675415938429,-1.042869922095613,-0.020147420147420214,0.4190271206515521,-0.6346929876842442
2010-08-02,3590500,0.009858550516850459,-0.9907958629110515,0.049147442326981094,0.5714646384022478,1.3121266345572316
2010-08-03,6152500,0.01828336920403221,-0.8991655472305249,0.04923518164435925,0.571657650745049,1.3145916459392366
2010-08-04,4565000,0.013063072691190277,-0.9559427237109449,-0.031435079726651494,0.3941960906728359,-0.9518166007969386
2010-08-05,3981000,0.01114266124961567,-0.9768295716256317,-0.038099717779868314,0.37953496219574995,-1.1390577276832625
2010-08-06,3709500,0.010249867231828847,-0.9865398099969287,-0.04205378973105123,0.3708366418337081,-1.2501462642275303
2010-08-09,4063500,0.011413952249495644,-0.9738789467061768,0.0005104645227156368,0.46447113408413476,-0.05431554275203506
2010-08-10,6406500,0.019118616646086915,-0.8900811989936577,-0.029081632653061185,0.3993732945411353,-0.8856971688626454
2010-08-11,3988000,0.011165679879908519,-0.9765792155718598,-0.05937992643194956,0.3327219364055841,-1.7369191894123923
2010-08-12,3455000,0.009412975601896079,-0.9956420408090653,-0.016759776536312887,0.42647939005019586,-0.539518095639382
2010-08-13,3170000,0.00847578851140162,-1.0058351087126367,0.040909090909091006,0.5533415944180706,1.0806724744282
2010-08-16,2429000,0.006039102076116034,-1.0323370852619225,0.02510917030567672,0.5185843181721975,0.6367781601571034
2010-08-17,2239500,0.005415954870331123,-1.0391145812890341,0.01970181043663488,0.5066889988572055,0.4848599093421796
2010-08-18,3006500,0.007938139075275855,-1.0116827108257382,-0.01984334203655358,0.41969604343698885,-0.6261499988999317
2010-08-19,2895500,0.007573129366346435,-1.0156526425355503,0.0010655301012254537,0.4656921888053004,-0.03872113183487761
2010-08-20,1480000,0.002918433483557299,-1.0662782131232886,0.016498137307078276,0.4996414348370789,0.39485361610258185
2010-08-23,5440500,0.015942045665674125,-0.9246303344141842,0.05392670157068058,0.5819782376761586,1.4463985754078292
2010-08-24,3365500,0.009118665971723255,-0.9988430217822921,-0.046199701937406856,0.3617163038608514,-1.366624498647943
2010-08-25,2516500,0.006326834954776613,-1.0292076345897734,0.03645833333333326,0.5435506458147848,0.9556296953112631
2010-08-26,2169000,0.005184124379524599,-1.0416360244020229,-0.007537688442211032,0.4467664960107922,-0.28042613097505503
2010-08-27,1898000,0.004292974549615835,-1.0513283801980504,-0.0025316455696202667,0.4577789826801063,-0.13978276801662395
2010-08-30,3664000,0.010100246134925345,-0.9881671243464463,0.00862944162436552,0.4823315738318498,0.17378482962203937
2010-08-31,1005500,0.001358099187277932,-1.0832487770539716,-0.01962757926522407,0.4201706867238073,-0.6200882046777603
2010-09-01,2474500,0.0061887231730195355,-1.0307097709124051,0.049794661190964984,0.5728884154838977,1.3303100660454483
2010-09-02,2435500,0.00606047651853082,-1.03210461178342,0.029828850855745603,0.5289668539322551,0.7693762544094714
2010-09-03,2173000,0.0051972778825490834,-1.0414929637998676,-0.0004748338081670411,0.4623036367193894,-0.08199722153497205
